metric,unit,constant,temperature_aware,absolute_delta,relative_delta_pct
simulated_time_ms,ms,20.332641,20.332641,0.0,0.0
thermal_exchanges,count,205.0,205.0,0.0,0.0
peak_temperature_c,°C,48.59000000000003,49.36400000000003,0.7740000000000009,1.5929203539823018
peak_temperature_rise_c,°C,21.74000000000003,22.51400000000003,0.7740000000000009,3.5602575896964113
active_redmule_peak_temperature_c,°C,48.59000000000003,49.36400000000003,0.7740000000000009,1.5929203539823018
active_tcdm_peak_temperature_c,°C,36.99600000000004,37.45600000000002,0.45999999999997954,1.243377662449938
chip_average_leakage_w,W,2.2396797284999956,2.608237071612004,0.36855734311200816,16.45580564140954
chip_peak_leakage_w,W,2.2396797285000063,2.6339824509789227,0.3943027224789164,17.60531728985175
active_redmule_peak_leakage_w,W,0.11996777600000023,0.26479017649202347,0.14482240049202322,120.71775048328222
active_tcdm_peak_leakage_w,W,0.020012207031250298,0.027814558875834942,0.007802351844584644,38.98796285887303
dynamic_energy_mj,mJ,83.33578748973038,83.33578748973038,0.0,0.0
leakage_energy_mj,mJ,45.538603874567876,53.032348019978166,7.4937441454102895,16.45580564140955
redmule_leakage_energy_mj,mJ,39.02818753562234,45.849442673405825,6.8212551377834885,17.477765606095595
tcdm_leakage_energy_mj,mJ,6.51041633894532,7.1829053465723725,0.6724890076270524,10.329431677114446
total_energy_mj,mJ,128.87439136429825,136.36813550970857,7.493744145410318,5.814765886441495
leakage_energy_fraction_pct,%,35.33565000190047,38.88910545103302,3.5534554491325494,10.05629003270474
