profile,phase,start_ps,end_ps,component_path,dynamic_w,leakage_w,total_w,temperature_used_c,temperature_returned_c
constant,update,0,100000000,/chip/cluster_0/redmule,3.925868544000006,0.119967776,4.045836320000006,26.85,29.53400000000005
constant,update,0,100000000,/chip/cluster_0/tcdm,0.04277401601278574,0.020012207031250007,0.06278622304403575,26.85,27.684000000000026
constant,update,0,100000000,/chip/cluster_1/redmule,0,0.119967776,0.119967776,26.85,26.949000000000012
constant,update,0,100000000,/chip/cluster_1/tcdm,0,0.020012207031250007,0.020012207031250007,26.85,26.95700000000005
constant,update,0,100000000,/chip/cluster_2/redmule,0,0.119967776,0.119967776,26.85,26.935000000000002
constant,update,0,100000000,/chip/cluster_2/tcdm,1.5200000000000004e-07,0.020012207031250007,0.020012359031250006,26.85,26.95700000000005
constant,update,0,100000000,/chip/cluster_3/redmule,0,0.119967776,0.119967776,26.85,26.935000000000002
constant,update,0,100000000,/chip/cluster_3/tcdm,0,0.020012207031250007,0.020012207031250007,26.85,26.966000000000008
constant,update,0,100000000,/chip/cluster_4/redmule,0,0.119967776,0.119967776,26.85,26.975000000000023
constant,update,0,100000000,/chip/cluster_4/tcdm,0,0.020012207031250007,0.020012207031250007,26.85,26.972000000000037
constant,update,0,100000000,/chip/cluster_5/redmule,0,0.119967776,0.119967776,26.85,26.934000000000026
constant,update,0,100000000,/chip/cluster_5/tcdm,0,0.020012207031250007,0.020012207031250007,26.85,26.95700000000005
constant,update,0,100000000,/chip/cluster_6/redmule,0,0.119967776,0.119967776,26.85,26.934000000000026
constant,update,0,100000000,/chip/cluster_6/tcdm,1.6800000000000005e-07,0.020012207031250007,0.020012375031250005,26.85,26.95700000000005
constant,update,0,100000000,/chip/cluster_7/redmule,0,0.119967776,0.119967776,26.85,26.934000000000026
constant,update,0,100000000,/chip/cluster_7/tcdm,0,0.020012207031250007,0.020012207031250007,26.85,26.966000000000008
constant,update,0,100000000,/chip/cluster_8/redmule,0,0.119967776,0.119967776,26.85,26.93300000000005
